Run,Chamber,Light_Level,Date,Start.time,Stop.time,Note
1,1,173,20261202,10:42,11:12,
1,1,0,20261202,11:12,11:29,
1,2,173,20261202,10:42,11:12,
1,2,0,20261202,11:12,11:29,
1,3,173,20261202,10:42,11:12,
1,3,0,20261202,11:12,11:29,
1,4,173,20261202,10:42,11:12,
1,4,0,20261202,11:12,11:29,
1,5,173,20261202,10:42,11:12,
1,5,0,20261202,11:12,11:29,
1,6,173,20261202,10:42,11:12,
1,6,0,20261202,11:12,11:29,
1,7,173,20261202,10:42,11:12,
1,7,0,20261202,11:12,11:29,
1,8,173,20261202,10:42,11:12,
1,8,0,20261202,11:12,11:29,
1,9,173,20261202,10:42,11:12,
1,9,0,20261202,11:12,11:29,
1,10,173,20261202,10:42,11:12,
1,10,0,20261202,11:12,11:29,
1,11,173,20261202,10:42,11:12,
1,11,0,20261202,11:12,11:29,
1,12,173,20261202,10:42,11:12,
1,12,0,20261202,11:12,11:29,
1,13,173,20261202,10:42,11:12,
1,13,0,20261202,11:12,11:29,
1,14,173,20261202,10:42,11:12,
1,14,0,20261202,11:12,11:29,
1,15,173,20261202,10:42,11:12,
1,15,0,20261202,11:12,11:29,
1,16,173,20261202,10:42,11:12,
1,16,0,20261202,11:12,11:29,
2,1,183,20261202,12:42,12:59,
2,1,0,20261202,12:59,13:15,
2,2,183,20261202,12:42,12:59,
2,2,0,20261202,12:59,13:15,
2,3,183,20261202,12:42,12:59,
2,3,0,20261202,12:59,13:15,
2,4,183,20261202,12:42,12:59,
2,4,0,20261202,12:59,13:15,
2,5,183,20261202,12:42,12:59,
2,5,0,20261202,12:59,13:15,
2,6,183,20261202,12:42,12:59,
2,6,0,20261202,12:59,13:15,
2,7,183,20261202,12:42,12:59,
2,7,0,20261202,12:59,13:15,
2,8,183,20261202,12:42,12:59,
2,8,0,20261202,12:59,13:15,
2,9,183,20261202,12:42,12:59,
2,9,0,20261202,12:59,13:15,
2,10,183,20261202,12:42,12:59,
2,10,0,20261202,12:59,13:15,
2,11,183,20261202,12:42,12:59,
2,11,0,20261202,12:59,13:15,
2,12,183,20261202,12:42,12:59,
2,12,0,20261202,12:59,13:15,
2,13,183,20261202,12:42,12:59,
2,13,0,20261202,12:59,13:15,
2,14,183,20261202,12:42,12:59,
2,14,0,20261202,12:59,13:15,
2,15,183,20261202,12:42,12:59,
2,15,0,20261202,12:59,13:15,
2,16,183,20261202,12:42,12:59,
2,16,0,20261202,12:59,13:15,
3,1,185,20261202,14:15,14:33,
3,1,0,20261202,14:33,14:50,
3,2,185,20261202,14:15,14:33,
3,2,0,20261202,14:33,14:50,
3,3,185,20261202,14:15,14:33,
3,3,0,20261202,14:33,14:50,
3,4,185,20261202,14:15,14:33,
3,4,0,20261202,14:33,14:50,
3,5,185,20261202,14:15,14:33,
3,5,0,20261202,14:33,14:50,
3,6,185,20261202,14:15,14:33,
3,6,0,20261202,14:33,14:50,
3,7,185,20261202,14:15,14:33,
3,7,0,20261202,14:33,14:50,
3,8,185,20261202,14:15,14:33,
3,8,0,20261202,14:33,14:50,
